CHEMICAL NAME,BOOK,SECTION,LOCATION
442 Natural Water Standard Solution,2,1,Lab
Amino Acid Reagent for Phosphate and Silica,1,1,Lab
Christys's Red Hot Blue Glue,4,1,
Goof Off Professional Strength VOC Complaint,3,1,
Amino Acid F Reagent,2,2,Lab
Aqua Ammonia(5-19%),1,2,Ammonia Storage Tanks
Aqueous Ammonia,1,2,
Gorilla Sealant,3,2,
Optisperse    AD J0350,4,2,
Amino Acid F Reagent Solution,2,3,Lab
Antiscalant (Hypersperse),1,3,RO Building
Heavy Duty Degreaser II,3,3,
Hypersperse (Antiscalant),1,3,RO Building
PH Storage Solution,4,3,
"Ace Ant, Roach & Spider Killer",2,4,
Bleach,1,4,RO Building
Permatemp RTV Red Gasket Maker,3,4,
Phosver 3 Phosphate Reagent,4,4,
Sodiup Hypochlorite 12.5%,1,4,RO Building
Avista 181,2,5,
Caustic,1,5,RO Building
Instant Adhesive,3,5,
Plug-N-Paste Patching Paste,4,5,
Sodium Hydroxide,1,5,RO Building
BernzOmatic MAP-PRO Cylinder,2,6,
Citric Acid,1,6,Lab
Iron out - Rust stain remover,3,6,
Roto-Z-Fluid,4,6,
Blaster (multipurpose lubricant),2,7,
FerroZine Iron,1,7,Lab
Iron Standard Solution,3,7,
Silver Aluminum Paint,4,7,
Brakleen Brake Parts Cleaner,2,8,
Control Oil,1,8,Tubine Building
Fyrquel EHC-N,1,8,Tubine Building
Klean Strip Denatured Alcohol,3,8,
Rust-Oleum Heavy Duty Primer,4,8,
Buffer Solution pH 4.01,2,9,
Glylol,1,9,CCW System
Kroil Penetrant-Aerokroil,3,9,
Propylene Glycol USP/EP,1,9,CCW System
Strust HP Rust Stripper,4,9,
Buffer Solution pH 7.00,2,10,
Kleen MCT405 (RO cleaning solution),1,10,RO Building
Non-spillable Lead Acid Battery,3,10,
Speclt SSPR Fluor Pink,4,10,
Buffer Solution pH 10.1,2,11,
Kleen MCT113 (RO cleaning solution),1,11,RO Building
Loctite 242 THREADLOCKER,3,11,
Safety Blue Paint,4,11,
Carboline (Surface Cleaner),2,12,
Loctite Threadlocker2760 High Strength,3,12,
Molibdate 3 reagent for silica,1,12,
Rohper Lspr Gloss Safety Green,4,12,
Surface Cleaner (Carboline ),2,12,
Chlorophosphonazo Indicator Solution,2,13,
"Loctite 567 TB 50ML EN, 2087067",3,13,
Mobil DTE 732,1,13,
Pro Semigloss Black,4,13,
Christiy's (Red Hot Blue Glue),2,14,
Loctite C5-A Cooper Based,3,14,
Mobil DTE 25,1,14,
Red Hot Blue Glue (Christiy's) ,2,14,
Scrubbing Towls,4,14,
6BR Sensor Safe Blue Silicone RTV,4,15,
"Diesel Fuel, All grades, Low Sulfur",2,15,
Loctite Heavy Duty Anti Seize,3,15,
Mobil SHC 632,1,15,
66BR Clear RTV Silicone Adhesive Sealant,4,16,
CitriSurf 2310 (Specialty Cleaner),2,16,
Loctite Silver Grade Anti Seize,3,16,
Mobil DTE OIL MEDIUM,1,16,
Specialty Cleaner (CitriSurf 2310),2,16,
Acetone,4,17,
Clean by Peroxy,2,17,
Loctite Dielectric grease Silicone Lubricant,3,17,
Mobil DTE OIL LIGHT,1,17,
3M Super 77 Classic Spray Adhesive,4,18,
LPS Instant Super Degreaser,3,18,
Mobil DTE 746,1,18,
Moly Lube,2,18,
2-26 Multi-Purpose Precision Lubricant,2,19,
M*95 Acid Cleaner,3,19,
MOBIL delvac 1300 super 15W-40,1,19,
Super Agitene 141,4,19,
Ethyl Mercaptan,3,20,
Foaming Crystal Simple Green Cleaner,4,20,
Lectra-Motive Electric Parts Cleaner,2,20,
Mobil SHC 632,1,20,
Dykem Transparent Stain - Steel Blue,2,21,
Mirachem Alkaline Cabinet Wash,3,21,
Simple Green Cleaner,4,21,
Sodium Bisulfite,1,21,RO Building
Dowfrost - Heater Transfer Fluid,2,22,
Mobil SHC Rarus 68,3,22,
ROC (RO cleaning solution),1,22,RO Building
Skilcraft Power Duster 2,4,22,
Damp Mop - Cleaning Agent,2,23,
Oatey Purple Primer/Cleaner,3,23,
ROCLEAN L211 (RO cleaning solution),1,23,RO Building
Slic-Tite Paste with PTFE,4,23,
DPD Free Chlorine Reagent,2,24,
Oatey PVC Regular Clear Cement,3,24,
Sodium Bisulifite Solution,4,24,
DPD Total Chlorine Reagent,2,25,
Oatey Purple or Clear Primer,3,25,
Sodium Chloride Standard Solution,4,25,
Activated Alumina D-201 3X6,3,26,
Electrical Parts Cleaner,2,26,
Super-Soy Degreaser,4,26,
ENF Instant Knockdown Wasp and Hornet Killer,2,27,
Sodium Hypochlorite 12.5%,4,27,
SLIPKOTE air tool oil,3,27,Maintanence shop
Fast and Easy - Cleaning Agent,2,28,
Steel Reinforced Epoxy Resin,4,28,
Fluid Film Aerosol,2,29,
Tap Magic EP-Xtra,4,29,
Foamy Q&A,2,30,
Tap Magic Pro Tap Liquid,4,30,
TRAX,4,31,
Vitec 8200,4,32,
WD-40 Aerosol,4,33,
3M Wire Pulling Lubricant,4,34,
Windex Glass Cleaner,4,34,
Zynolyte High-Temp Heat Enamel,4,35,
Diesel exhuast fluid,4,36,
Permatex 3H Aviation Form-a-gasket,4,37,
Citgo- Gasoline,4,38,
Antiscalant (RA9051),4,39,RO Building
RA9051 (Antiscalant),4,39,
Gas and Process Fluid VG32,4,40,
