Product Name,Manufacturer,Date Last Verified,Revision Date,CAS #,Product Code,Supplier,Document ID,Custom 1,Custom 2,Date Modified,Date Added,Added By,Regulatory Formats,Added To Queue By,Status,Language,UN/NA #,Approval,Approval Number
"SLIPKOTE Air Tool Oil 150, Husky air tool oil – HDA10800AV, Campbell Hausfeld (CH) air tool oil – ST127001AV, ST127012AV",SPECIALTY LUBRICANTS CORP,4/15/2026 12:00:00 AM,3/4/2015 12:00:00 AM,,"10640, 045564101268, ST1270, ST127012AV",Campbell-Hausfeld,148009872,,,3/10/2026,3/10/2026, VelocityEHS,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Fluid Film Aerosol AS,Eureka Chemical Company,3/18/2026 12:00:00 AM,2/1/2026 12:00:00 AM,,081991002075,,154772322,,,2/25/2026,2/25/2026,Alex Tan,"United States, Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
MOBIL DTE 25 ULTRA,Exxon Mobil Corporation,4/17/2026 12:00:00 AM,8/30/2024 12:00:00 AM,,20156010Q040_1228252,,154554452,,,4/8/2026,1/29/2026,Trent Simko,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Ethyl Mercaptan,Chevron Phillips Chemical Company LP,9/2/2025 12:00:00 AM,9/2/2025 12:00:00 AM,75-08-1,"1118972, 1111485, 1024772, 1086422, 1086423, 1021429, 1021431, 1021426, 1021430, 1021425, 1021424, 1024773, 1024771, 1024770, 1021427, 1026776, 1021428, 1104918",,154503110,,,1/22/2026,1/22/2026,Alex Tan,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
M*95,"Spartan Chemical Company, Inc.",1/13/2026 12:00:00 AM,10/30/2025 12:00:00 AM,,"7115 , 7495, 7105",,154345790,,,1/9/2026,1/9/2026,Alex Tan,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
LOCTITE LB 8801 SIL. LUB. DIELECTRIC GREASE known as Loctite Silicone Lubricant,Henkel Corporation,1/26/2026 12:00:00 AM,10/10/2025 12:00:00 AM,,51360,,154345730,,,1/9/2026,1/9/2026,Alex Tan,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
LOCTITE LB 8009 HEAVY DUTY ANTI-SEIZE known as Heavy Duty Anti-Seize,Henkel Canada Corporation,12/3/2025 12:00:00 AM,10/10/2025 12:00:00 AM,,51605,,154345668,,,1/9/2026,1/9/2026,Alex Tan,"Canada, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
442 Natural Water Standard Solution,Hach Company,2/10/2025 12:00:00 AM,2/10/2025 12:00:00 AM,,2974849,,154193217,,,12/12/2025,12/12/2025,Alex Tan,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
"CDTA SOLUTION, 30ML SCDB",Hach Company,7/1/2025 12:00:00 AM,2/19/2025 12:00:00 AM,,2589723,,154193232,,,12/12/2025,12/12/2025,Alex Tan,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
Chlorophosphonazo Indicator Solution,Hach Company,7/1/2025 12:00:00 AM,2/28/2025 12:00:00 AM,,2589549,,154193199,,,12/12/2025,12/12/2025,Alex Tan,"United States, Globally Harmonized System (GHS) ", ,In Use,English,,Approved,
